dealer_id,model,variant,year_month,year,month,bookings,cancellations,retail_sales,dealer_requested_qty,allocated_qty,dispatch_qty,in_transit_qty,opening_inventory,closing_inventory,lead_time_days,allocation_policy,panic_order_flag,stockout_flag,enquiries,test_drives,repeat_orders
DLR0001,Nexon,XE,2020-01,2020,1,12,0,8,7,6,5,0,8,5,11,Priority-Zone,0,0,44,19,0
DLR0001,Nexon,XE,2020-02,2020,2,19,1,18,20,19,17,2,5,4,11,Priority-Zone,1,0,93,31,1
DLR0001,Nexon,XE,2020-03,2020,3,19,1,15,15,14,13,1,4,2,21,Priority-Zone,1,0,84,43,2
DLR0001,Nexon,XE,2020-04,2020,4,2,0,2,2,1,0,0,2,0,8,Priority-Zone,0,1,8,3,0
DLR0001,Nexon,XE,2020-05,2020,5,5,1,1,3,2,1,0,0,0,9,Priority-Zone,1,1,16,8,0
DLR0001,Nexon,XE,2020-06,2020,6,0,0,1,2,1,0,0,0,0,17,Priority-Zone,1,1,0,0,0
DLR0001,Nexon,XE,2020-07,2020,7,6,1,5,9,8,7,0,0,2,17,Priority-Zone,1,0,18,12,0
DLR0001,Nexon,XE,2020-08,2020,8,4,0,2,3,2,1,0,2,1,18,Priority-Zone,0,0,18,6,0
DLR0001,Nexon,XE,2020-09,2020,9,3,0,2,5,4,3,0,1,2,17,Priority-Zone,1,0,12,4,0
DLR0001,Nexon,XE,2020-10,2020,10,15,0,10,14,13,12,3,2,4,16,Priority-Zone,1,0,66,26,0
DLR0001,Nexon,XE,2020-11,2020,11,10,0,9,13,12,11,2,4,6,17,Priority-Zone,1,0,30,20,0
DLR0001,Nexon,XE,2020-12,2020,12,15,1,13,18,17,16,3,6,9,10,Priority-Zone,1,0,74,33,1
DLR0001,Nexon,XE,2021-01,2021,1,7,0,7,9,8,7,0,9,9,14,Priority-Zone,0,0,32,12,0
DLR0001,Nexon,XE,2021-02,2021,2,16,1,15,14,13,12,3,9,6,18,Priority-Zone,0,0,54,37,2
DLR0001,Nexon,XE,2021-03,2021,3,15,1,19,27,26,25,1,6,12,20,Priority-Zone,1,0,50,24,2
DLR0001,Nexon,XE,2021-04,2021,4,8,0,6,8,7,6,2,12,12,17,Priority-Zone,0,0,26,13,0
DLR0001,Nexon,XE,2021-05,2021,5,6,0,8,9,8,7,0,12,11,12,Priority-Zone,0,0,21,14,0
DLR0001,Nexon,XE,2021-06,2021,6,13,0,15,14,13,12,0,11,8,13,Priority-Zone,0,0,52,21,1
DLR0001,Nexon,XE,2021-07,2021,7,16,3,23,35,34,31,8,8,16,14,Priority-Zone,1,0,61,38,2
DLR0001,Nexon,XE,2021-08,2021,8,18,4,20,26,23,21,6,16,17,17,Priority-Zone,0,0,64,39,1
DLR0001,Nexon,XE,2021-09,2021,9,21,1,19,15,14,13,2,17,11,18,Priority-Zone,0,0,88,33,1
DLR0001,Nexon,XE,2021-10,2021,10,14,3,17,18,17,15,1,11,9,13,Priority-Zone,0,0,45,27,1
DLR0001,Nexon,XE,2021-11,2021,11,21,4,19,30,29,28,2,9,18,13,Priority-Zone,1,0,75,42,1
DLR0001,Nexon,XE,2021-12,2021,12,18,4,19,22,21,19,4,18,18,7,Priority-Zone,0,0,67,43,2
DLR0001,Nexon,XE,2022-01,2022,1,5,1,9,13,12,11,0,18,20,13,Priority-Zone,0,0,19,9,1
DLR0001,Nexon,XE,2022-02,2022,2,9,0,8,7,6,5,1,20,17,14,Priority-Zone,0,0,41,17,0
DLR0001,Nexon,XE,2022-03,2022,3,27,2,35,45,44,42,14,17,24,15,Priority-Zone,1,0,91,43,4
DLR0001,Nexon,XE,2022-04,2022,4,14,3,16,20,19,18,0,24,26,16,Priority-Zone,0,0,56,29,1
DLR0001,Nexon,XE,2022-05,2022,5,29,2,19,19,18,17,1,26,24,13,Priority-Zone,0,0,121,49,1
DLR0001,Nexon,XE,2022-06,2022,6,19,2,18,17,15,14,4,24,20,21,Priority-Zone,0,0,58,29,1
DLR0001,Nexon,XE,2022-07,2022,7,22,1,18,18,16,14,1,20,16,12,Priority-Zone,0,0,92,54,1
DLR0001,Nexon,XE,2022-08,2022,8,6,0,8,5,4,3,0,16,11,16,Priority-Zone,0,0,20,10,0
DLR0001,Nexon,XE,2022-09,2022,9,13,1,16,19,18,17,1,11,12,19,Priority-Zone,0,0,40,21,1
DLR0001,Nexon,XE,2022-10,2022,10,28,2,28,34,31,29,3,12,13,11,Priority-Zone,1,0,137,61,2
DLR0001,Nexon,XE,2022-11,2022,11,11,1,13,11,10,9,1,13,9,8,Priority-Zone,0,0,54,25,0
DLR0001,Nexon,XE,2022-12,2022,12,8,0,11,11,10,9,2,9,7,13,Priority-Zone,0,0,36,12,1
DLR0001,Nexon,XE,2023-01,2023,1,19,2,17,22,21,20,5,7,10,12,Priority-Zone,1,0,68,30,1
DLR0001,Nexon,XE,2023-02,2023,2,30,2,22,31,28,27,0,10,15,16,Priority-Zone,1,0,95,47,3
DLR0001,Nexon,XE,2023-03,2023,3,27,2,23,21,19,18,5,15,10,18,Priority-Zone,0,0,117,41,1
DLR0001,Nexon,XE,2023-04,2023,4,17,1,13,9,8,7,1,10,4,10,Priority-Zone,0,0,65,36,0
DLR0001,Nexon,XE,2023-05,2023,5,10,1,9,12,11,10,1,4,5,20,Priority-Zone,1,0,32,20,0
DLR0001,Nexon,XE,2023-06,2023,6,3,0,5,7,6,5,0,5,5,16,Priority-Zone,0,0,11,6,0
