dealer_id,dealer_state,region,model,variant,sales_date,sales_unit,launch_date,discontinued_date,sale_price,msrp_inr,finance_flag,fuel_type,transmission,body_type,is_discontinued,sales_month,months_on_market,months_since_discontinued,year_month
655,Karnataka,West,Safari,Luxury,2000-02-01,1,1998-06-09,,2209142,2463025,0,Hybrid,Manual,SUV,0,2000-02,20,0,2000-02
924,West Bengal,West,Altroz,Creative,2000-03-17,1,1998-12-03,,1750996,2074377,1,Petrol,Manual,Hatchback,0,2000-03,15,0,2000-03
321,West Bengal,West,Tigor,Premium,2000-03-26,1,2000-12-12,,2296744,2323283,1,Petrol,Manual,Sedan,0,2000-03,0,0,2000-03
854,Maharashtra,Central,Nano,XZ(O),2000-03-28,1,1999-05-09,,1164926,1450768,1,Petrol,Manual,Hatchback,0,2000-03,10,0,2000-03
638,Delhi,North,Tiago,Adventure,2000-04-07,1,2000-03-22,,525893,646456,1,Diesel,Manual,Hatchback,0,2000-04,1,0,2000-04
202,Maharashtra,East,Bolt,XE,2000-04-10,1,1998-07-26,,791459,787581,1,Petrol,Manual,Hatchback,0,2000-04,21,0,2000-04
584,Odisha,South,Hexa,XZ(O),2000-04-16,5,1997-08-09,,1268468,1407255,0,Hybrid,Automatic,SUV,0,2000-04,32,0,2000-04
96,Andhra Pradesh,East,Nexon,Luxury,2000-04-30,1,1996-04-12,,2648893,2608823,0,Diesel,Manual,SUV,0,2000-04,48,0,2000-04
255,Madhya Pradesh,South,Harrier,Pro,2000-05-04,1,1995-03-13,,2022183,1998308,1,Petrol,Automatic,SUV,0,2000-05,62,0,2000-05
562,Karnataka,Central,Hexa,Pro,2000-05-20,5,2000-03-15,,1042727,1225365,0,Diesel,Manual,SUV,0,2000-05,2,0,2000-05
329,Delhi,West,Harrier,Signature,2000-05-25,1,1995-03-10,,2126599,2210198,0,Petrol,AMT,SUV,0,2000-05,62,0,2000-05
544,Andhra Pradesh,East,Tigor,Pro,2000-06-01,1,1996-03-10,,1736245,1953351,0,Diesel,Manual,Sedan,0,2000-06,51,0,2000-06
773,Bihar,West,Punch,XE,2000-06-12,1,1996-08-10,,682468,683896,1,CNG,Automatic,Hatchback,0,2000-06,46,0,2000-06
480,Telangana,Central,Nexon EV,XZ,2000-06-19,1,1997-06-08,,2438080,2900766,0,Electric,AMT,Hatchback,0,2000-06,36,0,2000-06
81,Delhi,North,Indica,Gold,2000-06-23,1,1998-09-02,,978629,1130626,1,Electric,CVT,Hatchback,0,2000-06,21,0,2000-06
296,West Bengal,Central,Zest,XM,2000-06-23,1,1998-10-20,,1231453,1321361,1,Petrol,Manual,Sedan,0,2000-06,20,0,2000-06
942,Madhya Pradesh,Central,Indica,Gold,2000-07-01,5,1995-01-30,,891374,1022509,0,Petrol,Manual,Hatchback,0,2000-07,66,0,2000-07
